Cluster ID,Top Words,Number of Playlists
2,"love (1065), mix (602), like (558), lil (475), get (424), 2 (414), back (399), original (355), one (350), night (333)",542
0,"love (704), man (231), girl (229), like (221), night (193), one (177), good (174), back (171), get (169), rock (162)",315
3,"love (2644), like (998), girl (747), good (662), one (650), go (648), time (634), night (584), back (538), i'm (531)",750
8,"love (734), like (270), one (188), go (185), know (181), heart (180), good (177), let (166), back (151), life (148)",415
7,"love (339), like (108), way (70), go (68), girl (66), one (65), back (62), let (62), good (60), i'm (58)",174
4,"christmas (825), cast (244), little (180), santa (157), broadway (128), merry (118), night (112), bells (108), (glee (105), original (102)",84
1,"el (518), de (462), la (411), te (284), mi (238), que (235), en (175), amor (160), tu (131), yo (109)",79
5,"version"" (161), """"the (88), soundtrack (63), little (57), """"tangled""""/soundtrack (49), life (33), world (32), """"mulan""""/soundtrack"" (28), go (27), ""i (26)",24
9,"minor (83), no. (47), concerto (37), c (31), ""symphony (29), major (27), g (20), ""piano (20), no.2 (18), e (18)",8
6,"minor (43), no. (42), major (36), g (22), c (22), piano (17), young (17), sonata (16), ""album (14), etude (13)",10
